constructor,spearman_corr,p_value
RAM,-0.5595395677720437,3.924070735264918e-07
Ensign,-0.5859911773984643,1.4215552326527529e-15
Pacific,-0.5940926147608481,1.4522853029442558e-07
Osella,-0.6214985619043997,2.537531942826632e-28
Schroeder,-0.6341463414634148,0.09128908214416577
Zakspeed,-0.6549508781499356,1.2124037233208236e-17
Bellasi,-0.6572670690061994,0.15606908339603995
Coloni,-0.6583380552799615,2.402713819631639e-11
LEC,-0.6668859288553503,0.2188939813132315
Lambo,-0.6721917974127467,2.5156278333728143e-05
Fondmetal,-0.7342295518565723,3.134583868657186e-08
Aston Butterworth,-0.7378647873726218,0.2621352126273781
Euro Brun,-0.7490815453203749,7.139098965297655e-15
OSCA,-0.7575896711961079,0.02945115843634987
Scirocco,-0.757590116040602,0.00042739414152922166
Onyx,-0.7613936475595373,5.639885119630249e-11
Boro,-0.7664808076244858,0.026520014304076547
Martini,-0.7798896384112728,0.022452707673795837
Merzario,-0.8082338001859284,2.216557115880294e-08
AGS,-0.815321289455836,1.7039756995008302e-30
Pawl,-0.8164965809277261,0.1835034190722738
Rial,-0.8186578964060107,1.176230338247447e-12
Moore,-0.8660254037844387,0.3333333333333332
Gilby,-0.9045340337332909,0.005134461661982116
Amon,-0.9176629354822471,0.02800845601014614
Token,-0.9486832980505139,0.05131670194948612
LDS-Climax,-0.9999999999999999,
McLaren-Serenissima,-0.9999999999999999,
Protos,-0.9999999999999999,
Lotus-Maserati,-0.9999999999999999,
Meskowski,-0.9999999999999999,
LDS-Alfa Romeo,-0.9999999999999999,
Sherman,-0.9999999999999999,
Christensen,-0.9999999999999999,
Stebro,-0.9999999999999999,
Lyncar,-0.9999999999999999,
Rebaque,-1.0,0.0
Nichels,-1.0,0.0
Life,,
Kauhsen,,
McGuire,,
Apollon,,
Maki,,
Politoys,,
Connew,,
BRM-Ford,,
Cooper-ATS,,
Cooper-Ferrari,,
Shannon,,
Cooper-Ford,,
RE,,
Derrington,,
Lotus-Borgward,,
De Tomaso-Ferrari,,
ENB,,
Cooper-Alfa Romeo,,
Ferguson,,
MBM,,
Elder,,
Sutton,,
Fry,,
Cooper-OSCA,,
Tec-Mec,,
Bugatti,,
Arzani-Volpini,,
Klenk,,
Turner,,
Del Roy,,
EMW,,
Cisitalia,,
Hall,,
Langley,,
Rae,,
Olson,,
Wetteroth,,
Snowberger,,
Adams,,
Milano,,
